transaction_ref,account_id,statement_no,opening_balance,date,dr_cr,amount,txn_type,ref,narration
,,,,21/01/2024,C,4861.5,MSVR,EF00049,Transaction number 49
,,,,22/03/2024,C,130.24,DIVR,EF00050,Transaction number 50
,,,,24/04/2024,C,2772.46,MSVR,EF00051,Transaction number 51
,,,,16/01/2024,D,2628.48,DIVR,EF00052,Transaction number 52
,,,,09/04/2024,D,2569.92,MSVR,EF00053,Transaction number 53
,,,,29/04/2024,C,286.48,CHER,EF00054,Transaction number 54
,,,,28/03/2024,D,1423.81,MSVR,EF00055,Transaction number 55
,,,,18/01/2024,C,74.36,TRFR,EF00056,Transaction number 56
,,,,27/02/2024,C,693.06,DIVR,EF00057,Transaction number 57
,,,,20/03/2024,C,4356.06,TRFR,EF00058,Transaction number 58
,,,,13/01/2024,C,3827.92,DIVR,EF00059,Transaction number 59
,,,,20/04/2024,D,1228.69,CHER,EF00060,Transaction number 60
,,,,23/04/2024,D,2672.63,TRFR,EF00061,Transaction number 61
,,,,20/02/2024,C,4194.62,CHER,EF00062,Transaction number 62
,,,,11/02/2024,D,2278.47,CHER,EF00063,Transaction number 63
,,,,09/04/2024,C,2950.59,MSVR,EF00064,Transaction number 64
,,,,28/01/2024,C,913.45,CHGR,EF00065,Transaction number 65
,,,,16/04/2024,C,3194.02,TRFR,EF00066,Transaction number 66
,,,,23/04/2024,D,2311,DIVR,EF00067,Transaction number 67
,,,,15/04/2024,D,564.11,DIVR,EF00068,Transaction number 68
,,,,17/03/2024,D,3383.12,DIVR,EF00069,Transaction number 69
,,,,08/02/2024,D,922.24,MSVR,EF00070,Transaction number 70
,,,,10/04/2024,D,4895.58,TRFR,EF00071,Transaction number 71
,,,,09/02/2024,C,758.46,DIVR,EF00072,Transaction number 72
,,,,30/03/2024,D,3406.36,TRFR,EF00073,Transaction number 73
,,,,05/02/2024,D,3431.77,DIVR,EF00074,Transaction number 74
,,,,22/01/2024,D,3197.91,MSVR,EF00075,Transaction number 75
,,,,11/04/2024,D,1997.87,TRFR,EF00076,Transaction number 76
,,,,01/02/2024,D,4164.24,TRFR,EF00077,Transaction number 77
,,,,25/04/2024,C,738.84,CHER,EF00078,Transaction number 78
,,,,10/02/2024,C,1619.85,CHGR,EF00079,Transaction number 79
,,,,26/03/2024,D,3700.43,MSVR,EF00080,Transaction number 80
,,,,07/04/2024,C,4921.2,DIVR,EF00081,Transaction number 81
,,,,06/02/2024,D,3070.94,CHER,EF00082,Transaction number 82
,,,,16/03/2024,C,1814.94,CHER,EF00083,Transaction number 83
,,,,11/03/2024,D,810.07,DIVR,EF00084,Transaction number 84
,,,,04/03/2024,C,3866.06,MSVR,EF00085,Transaction number 85
,,,,07/04/2024,C,1377.76,TRFR,EF00086,Transaction number 86
,,,,12/02/2024,D,4581.2,DIVR,EF00087,Transaction number 87
,,,,22/01/2024,D,2471.02,DIVR,EF00088,Transaction number 88
,,,,02/04/2024,C,1668.95,TRFR,EF00089,Transaction number 89
,,,,01/03/2024,D,1612.34,MSVR,EF00090,Transaction number 90
,,,,08/03/2024,C,2793.49,CHGR,EF00091,Transaction number 91
,,,,21/01/2024,D,2017.59,CHGR,EF00092,Transaction number 92
,,,,24/03/2024,C,4081.62,TRFR,EF00093,Transaction number 93
,,,,09/04/2024,D,699.01,TRFR,EF00094,Transaction number 94
,,,,06/01/2024,C,1477.26,CHGR,EF00095,Transaction number 95
,,,,25/01/2024,D,4516.09,CHGR,EF00096,Transaction number 96
,,,,05/02/2024,D,1401.59,CHER,EF00097,Transaction number 97
,,,,21/03/2024,D,3340.06,DIVR,EF00098,Transaction number 98
,,,,03/01/2024,C,1365.64,TRFR,EF00099,Transaction number 99
,,,,29/02/2024,D,1518.49,DIVR,EF00100,Transaction number 100
,,,,15/04/2024,D,2604.75,TRFR,EF00101,Transaction number 101
,,,,29/04/2024,C,4896.52,CHER,EF00102,Transaction number 102
,,,,22/04/2024,D,918.79,MSVR,EF00103,Transaction number 103
,,,,16/04/2024,C,3879.33,CHER,EF00104,Transaction number 104
,,,,15/02/2024,C,4470.33,DIVR,EF00105,Transaction number 105
,,,,05/04/2024,D,4985.56,MSVR,EF00106,Transaction number 106
,,,,24/02/2024,D,2083.19,DIVR,EF00107,Transaction number 107
,,,,26/04/2024,C,1834.65,TRFR,EF00108,Transaction number 108
,,,,10/03/2024,C,4527.67,TRFR,EF00109,Transaction number 109
,,,,21/04/2024,D,4269.14,DIVR,EF00110,Transaction number 110
,,,,12/01/2024,D,1416.4,CHGR,EF00111,Transaction number 111
,,,,18/03/2024,C,2822.54,TRFR,EF00112,Transaction number 112
,,,,30/03/2024,C,4116.54,DIVR,EF00113,Transaction number 113
,,,,06/02/2024,C,528.37,MSVR,EF00114,Transaction number 114
,,,,22/02/2024,C,4925.03,MSVR,EF00115,Transaction number 115
,,,,13/01/2024,C,4323.96,DIVR,EF00116,Transaction number 116
,,,,04/02/2024,D,3980.8,CHER,EF00117,Transaction number 117
,,,,06/01/2024,C,3064.19,MSVR,EF00118,Transaction number 118
,,,,12/02/2024,C,988.43,DIVR,EF00119,Transaction number 119
,,,,07/02/2024,D,3413.01,MSVR,EF00120,Transaction number 120
,,,,01/01/2024,D,4908.26,DIVR,EF00121,Transaction number 121
,,,,25/04/2024,C,3980.8,CHGR,EF00122,Transaction number 122
,,,,17/01/2024,D,3439.09,CHER,EF00123,Transaction number 123
,,,,14/02/2024,D,602.04,CHGR,EF00124,Transaction number 124
,,,,08/02/2024,D,2315.54,TRFR,EF00125,Transaction number 125
,,,,29/03/2024,C,1510.39,TRFR,EF00126,Transaction number 126
,,,,01/03/2024,D,3671.72,DIVR,EF00127,Transaction number 127
,,,,22/01/2024,D,474.74,TRFR,EF00128,Transaction number 128
,,,,19/04/2024,C,742.53,CHGR,EF00129,Transaction number 129
,,,,13/04/2024,D,273.85,TRFR,EF00130,Transaction number 130
,,,,15/01/2024,D,1977.82,CHGR,EF00131,Transaction number 131
,,,,16/04/2024,C,3556.19,CHER,EF00132,Transaction number 132
,,,,18/02/2024,C,3162.62,DIVR,EF00133,Transaction number 133
,,,,12/04/2024,C,3058.3,TRFR,EF00134,Transaction number 134
,,,,09/03/2024,C,787.62,MSVR,EF00135,Transaction number 135
,,,,10/03/2024,D,3465.29,DIVR,EF00136,Transaction number 136
,,,,16/02/2024,C,2176.79,TRFR,EF00137,Transaction number 137
,,,,29/01/2024,D,2816.35,TRFR,EF00138,Transaction number 138
,,,,11/03/2024,C,963.71,CHGR,EF00139,Transaction number 139
,,,,12/02/2024,D,3150.4,MSVR,EF00140,Transaction number 140
,,,,17/03/2024,D,998.12,CHGR,EF00141,Transaction number 141
,,,,02/01/2024,D,4000.86,CHGR,EF00142,Transaction number 142
,,,,26/01/2024,D,3695.16,CHGR,EF00143,Transaction number 143
,,,,14/01/2024,C,3854.89,MSVR,EF00144,Transaction number 144
,,,,03/04/2024,C,1112.74,MSVR,EF00145,Transaction number 145
,,,,30/03/2024,C,2862.89,CHER,EF00146,Transaction number 146
,,,,18/02/2024,D,925.6,TRFR,EF00147,Transaction number 147
,,,,22/01/2024,C,580.02,DIVR,EF00148,Transaction number 148
,,,,17/03/2024,C,449.34,TRFR,EF00149,Transaction number 149
,,,,14/02/2024,D,4695.16,DIVR,EF00150,Transaction number 150
,,,,20/01/2024,C,2051.71,CHGR,EF00151,Transaction number 151
,,,,15/02/2024,D,940.66,CHGR,EF00152,Transaction number 152
,,,,02/01/2024,D,2365.21,DIVR,EF00153,Transaction number 153
,,,,01/04/2024,C,4188.9,DIVR,EF00154,Transaction number 154
,,,,25/04/2024,C,2067.73,TRFR,EF00155,Transaction number 155
,,,,17/04/2024,C,3145.28,CHER,EF00156,Transaction number 156
,,,,02/04/2024,D,2544.88,CHER,EF00157,Transaction number 157
,,,,27/02/2024,C,1714.13,TRFR,EF00158,Transaction number 158
,,,,27/02/2024,C,4931.81,MSVR,EF00159,Transaction number 159
,,,,23/04/2024,D,4122.37,TRFR,EF00160,Transaction number 160
,,,,19/01/2024,C,1528.23,DIVR,EF00161,Transaction number 161
,,,,18/04/2024,C,879.94,TRFR,EF00162,Transaction number 162
,,,,02/04/2024,C,4252.82,CHER,EF00163,Transaction number 163
,,,,01/03/2024,D,2483.19,MSVR,EF00164,Transaction number 164
,,,,11/04/2024,C,1003.24,CHER,EF00165,Transaction number 165
,,,,14/01/2024,C,4750.84,TRFR,EF00166,Transaction number 166
,,,,23/01/2024,D,2703.78,CHGR,EF00167,Transaction number 167
,,,,22/03/2024,D,3580.55,DIVR,EF00168,Transaction number 168
,,,,31/01/2024,D,2160.12,DIVR,EF00169,Transaction number 169
,,,,17/04/2024,C,3062.94,TRFR,EF00170,Transaction number 170
,,,,03/01/2024,D,4887.34,CHER,EF00171,Transaction number 171
,,,,22/04/2024,D,831.36,MSVR,EF00172,Transaction number 172
,,,,03/04/2024,D,4306.38,DIVR,EF00173,Transaction number 173
,,,,06/02/2024,C,3930.79,MSVR,EF00174,Transaction number 174
,,,,13/02/2024,C,4444.14,CHER,EF00175,Transaction number 175
,,,,21/03/2024,D,3129.83,CHER,EF00176,Transaction number 176
,,,,17/02/2024,C,3166.89,CHGR,EF00177,Transaction number 177
,,,,16/01/2024,C,2239.57,CHER,EF00178,Transaction number 178
,,,,10/02/2024,D,2986.51,CHER,EF00179,Transaction number 179
,,,,16/01/2024,D,561.02,CHGR,EF00180,Transaction number 180
,,,,19/02/2024,C,2188.61,TRFR,EF00181,Transaction number 181
,,,,26/03/2024,D,3673.83,TRFR,EF00182,Transaction number 182
,,,,24/03/2024,C,3965.13,DIVR,EF00183,Transaction number 183
,,,,08/01/2024,C,1002.45,CHER,EF00184,Transaction number 184
,,,,10/02/2024,C,2978.74,TRFR,EF00185,Transaction number 185
,,,,01/04/2024,D,3137.99,CHER,EF00186,Transaction number 186
,,,,19/03/2024,D,1875.3,CHER,EF00187,Transaction number 187
,,,,12/03/2024,C,701.49,CHGR,EF00188,Transaction number 188
,,,,17/03/2024,C,1305.49,CHER,EF00189,Transaction number 189
,,,,29/02/2024,D,1327.79,TRFR,EF00190,Transaction number 190
,,,,03/01/2024,D,2624.89,MSVR,EF00191,Transaction number 191
,,,,23/01/2024,C,4009.54,TRFR,EF00192,Transaction number 192
,,,,01/04/2024,C,596.02,MSVR,EF00193,Transaction number 193
,,,,26/03/2024,C,1117.18,MSVR,EF00194,Transaction number 194
,,,,16/03/2024,D,973.61,CHGR,EF00195,Transaction number 195
,,,,21/04/2024,D,2774.17,MSVR,EF00196,Transaction number 196
,,,,03/03/2024,C,1946.98,CHER,EF00197,Transaction number 197
,,,,15/04/2024,D,761.8,CHER,EF00198,Transaction number 198
,,,,30/03/2024,C,1969.9,DIVR,EF00199,Transaction number 199
,,,,05/03/2024,D,4436.78,CHGR,EF00200,Transaction number 200
,,,,18/03/2024,D,1703.87,MSVR,EF00201,Transaction number 201
,,,,11/02/2024,C,4384.69,TRFR,EF00202,Transaction number 202
,,,,18/02/2024,C,4177.03,DIVR,EF00203,Transaction number 203
,,,,24/04/2024,D,1041.66,DIVR,EF00204,Transaction number 204
,,,,27/02/2024,C,4883.96,MSVR,EF00205,Transaction number 205
,,,,14/01/2024,C,1968.55,TRFR,EF00206,Transaction number 206
,,,,12/01/2024,D,1810.11,TRFR,EF00207,Transaction number 207
,,,,21/03/2024,C,134.34,DIVR,EF00208,Transaction number 208
,,,,26/03/2024,D,4342.34,CHER,EF00209,Transaction number 209
,,,,20/03/2024,C,3160.93,MSVR,EF00210,Transaction number 210
,,,,12/02/2024,C,1770.18,TRFR,EF00211,Transaction number 211
,,,,06/02/2024,D,2794.6,CHER,EF00212,Transaction number 212
,,,,10/03/2024,D,1431.41,CHGR,EF00213,Transaction number 213
,,,,05/01/2024,C,3984.89,CHER,EF00214,Transaction number 214
,,,,01/02/2024,C,2117.77,CHGR,EF00215,Transaction number 215
,,,,15/03/2024,C,673.53,DIVR,EF00216,Transaction number 216
,,,,21/02/2024,D,1120.45,MSVR,EF00217,Transaction number 217
,,,,01/01/2024,D,4974.37,DIVR,EF00218,Transaction number 218
,,,,22/01/2024,C,337.27,DIVR,EF00219,Transaction number 219
,,,,15/03/2024,C,671.47,TRFR,EF00220,Transaction number 220
,,,,14/03/2024,C,1452.71,MSVR,EF00221,Transaction number 221
,,,,09/01/2024,D,4554.17,CHGR,EF00222,Transaction number 222
,,,,08/01/2024,D,527.51,DIVR,EF00223,Transaction number 223
,,,,25/04/2024,D,767.65,MSVR,EF00224,Transaction number 224
,,,,09/02/2024,C,1778.31,DIVR,EF00225,Transaction number 225
,,,,19/04/2024,D,3953.96,DIVR,EF00226,Transaction number 226
,,,,29/01/2024,C,2306.77,CHER,EF00227,Transaction number 227
,,,,27/01/2024,C,4315.78,MSVR,EF00228,Transaction number 228
,,,,08/04/2024,D,3532.28,CHER,EF00229,Transaction number 229
,,,,02/02/2024,C,632.05,CHER,EF00230,Transaction number 230
,,,,07/03/2024,D,4682.13,CHER,EF00231,Transaction number 231
,,,,01/01/2024,C,2356.28,CHGR,EF00232,Transaction number 232
,,,,13/04/2024,D,276.14,MSVR,EF00233,Transaction number 233
,,,,20/03/2024,C,1410.54,CHGR,EF00234,Transaction number 234
,,,,12/01/2024,D,4864.18,CHGR,EF00235,Transaction number 235
,,,,18/03/2024,C,2335.79,DIVR,EF00236,Transaction number 236
,,,,24/01/2024,D,3290.48,CHER,EF00237,Transaction number 237
,,,,09/01/2024,D,4377.56,DIVR,EF00238,Transaction number 238
,,,,13/01/2024,D,2589.94,MSVR,EF00239,Transaction number 239
,,,,23/04/2024,C,422.7,CHER,EF00240,Transaction number 240
,,,,06/02/2024,D,4517.5,TRFR,EF00241,Transaction number 241
,,,,05/01/2024,C,4673.47,MSVR,EF00242,Transaction number 242
,,,,28/01/2024,C,3690.48,MSVR,EF00243,Transaction number 243
,,,,27/02/2024,D,3988.71,CHER,EF00244,Transaction number 244
,,,,20/03/2024,D,2964.9,TRFR,EF00245,Transaction number 245
,,,,12/02/2024,C,588.55,MSVR,EF00246,Transaction number 246
,,,,28/03/2024,D,4773.27,DIVR,EF00247,Transaction number 247
,,,,22/04/2024,C,2661.75,MSVR,EF00248,Transaction number 248
,,,,02/01/2024,D,4914.7,TRFR,EF00249,Transaction number 249
,,,,16/01/2024,D,1728.6,CHGR,EF00250,Transaction number 250
,,,,01/03/2024,D,2056.2,TRFR,EF00251,Transaction number 251
,,,,26/02/2024,C,3836.66,DIVR,EF00252,Transaction number 252
,,,,14/01/2024,D,2460.13,TRFR,EF00253,Transaction number 253
,,,,23/02/2024,D,4490.31,MSVR,EF00254,Transaction number 254
,,,,13/01/2024,D,2081.23,CHER,EF00255,Transaction number 255
,,,,08/01/2024,C,2894.21,MSVR,EF00256,Transaction number 256
,,,,13/04/2024,C,3489.78,MSVR,EF00257,Transaction number 257
,,,,01/04/2024,C,2587.22,TRFR,EF00258,Transaction number 258
,,,,18/01/2024,C,1240.02,MSVR,EF00259,Transaction number 259
,,,,25/04/2024,D,185.81,TRFR,EF00260,Transaction number 260
,,,,14/03/2024,D,2610.59,CHER,EF00261,Transaction number 261
,,,,06/01/2024,D,2059.28,MSVR,EF00262,Transaction number 262
,,,,27/04/2024,C,3677.79,MSVR,EF00263,Transaction number 263
,,,,04/04/2024,C,2369.38,DIVR,EF00264,Transaction number 264
,,,,12/02/2024,D,2958.82,CHER,EF00265,Transaction number 265
,,,,25/01/2024,D,2205.67,CHGR,EF00266,Transaction number 266
,,,,14/01/2024,C,2790.02,MSVR,EF00267,Transaction number 267
,,,,03/04/2024,D,4429.87,DIVR,EF00268,Transaction number 268
,,,,23/03/2024,C,877.24,TRFR,EF00269,Transaction number 269
,,,,19/03/2024,D,2261.63,CHGR,EF00270,Transaction number 270
,,,,07/02/2024,D,4199.78,CHGR,EF00271,Transaction number 271
,,,,08/04/2024,C,3512.12,MSVR,EF00272,Transaction number 272
,,,,23/01/2024,D,351.08,DIVR,EF00273,Transaction number 273
,,,,28/04/2024,D,62.39,CHER,EF00274,Transaction number 274
,,,,19/04/2024,D,570.12,DIVR,EF00275,Transaction number 275
,,,,08/01/2024,D,4398.68,CHGR,EF00276,Transaction number 276
,,,,02/02/2024,D,1912.67,MSVR,EF00277,Transaction number 277
,,,,03/01/2024,D,1331.3,CHGR,EF00278,Transaction number 278
,,,,21/04/2024,C,2421.6,CHER,EF00279,Transaction number 279
,,,,26/02/2024,C,3870.55,TRFR,EF00280,Transaction number 280
,,,,21/03/2024,D,2609.28,CHER,EF00281,Transaction number 281
,,,,07/02/2024,D,3846.37,CHER,EF00282,Transaction number 282
,,,,17/02/2024,D,3156.15,CHER,EF00283,Transaction number 283
,,,,27/02/2024,C,458.53,DIVR,EF00284,Transaction number 284
,,,,13/01/2024,D,3385.69,DIVR,EF00285,Transaction number 285
,,,,30/03/2024,D,1255.54,MSVR,EF00286,Transaction number 286
,,,,20/02/2024,C,2049.59,MSVR,EF00287,Transaction number 287
,,,,21/01/2024,D,4804.08,MSVR,EF00288,Transaction number 288
,,,,18/01/2024,C,740.3,CHER,EF00289,Transaction number 289
,,,,09/02/2024,D,116.94,DIVR,EF00290,Transaction number 290
,,,,05/03/2024,C,1260,TRFR,EF00291,Transaction number 291
,,,,05/01/2024,D,2812.02,CHGR,EF00292,Transaction number 292
,,,,25/03/2024,D,4546.45,TRFR,EF00293,Transaction number 293
,,,,31/03/2024,D,245.17,MSVR,EF00294,Transaction number 294
,,,,25/01/2024,C,2909.11,TRFR,EF00295,Transaction number 295
,,,,12/02/2024,D,3843.06,MSVR,EF00296,Transaction number 296
,,,,13/01/2024,C,4627.84,CHER,EF00297,Transaction number 297
,,,,20/03/2024,C,4170.54,CHGR,EF00298,Transaction number 298
,,,,10/04/2024,D,2336.94,CHGR,EF00299,Transaction number 299
,,,,10/02/2024,D,1805.12,MSVR,EF00300,Transaction number 300
,,,,13/03/2024,D,2310.33,CHGR,EF00301,Transaction number 301
,,,,18/01/2024,C,1318.3,MSVR,EF00302,Transaction number 302
,,,,23/04/2024,C,3949.24,TRFR,EF00303,Transaction number 303
,,,,12/02/2024,D,4383,CHER,EF00304,Transaction number 304
,,,,16/03/2024,D,1729.06,MSVR,EF00305,Transaction number 305
,,,,05/01/2024,C,1758.91,CHER,EF00306,Transaction number 306
,,,,30/03/2024,C,3347.89,CHER,EF00307,Transaction number 307
,,,,02/03/2024,C,1903.04,TRFR,EF00308,Transaction number 308
,,,,03/01/2024,D,1551.93,CHGR,EF00309,Transaction number 309
,,,,05/04/2024,C,3441.97,CHER,EF00310,Transaction number 310
,,,,14/02/2024,C,3091.05,TRFR,EF00311,Transaction number 311
,,,,05/03/2024,D,363.69,CHGR,EF00312,Transaction number 312
,,,,15/04/2024,D,896.67,MSVR,EF00313,Transaction number 313
,,,,14/04/2024,C,3941.43,CHER,EF00314,Transaction number 314
,,,,08/02/2024,D,2315.23,CHER,EF00315,Transaction number 315
,,,,26/02/2024,D,1501.16,TRFR,EF00316,Transaction number 316
,,,,25/02/2024,D,1534.13,CHER,EF00317,Transaction number 317
,,,,05/04/2024,D,4237.8,DIVR,EF00318,Transaction number 318
,,,,28/01/2024,C,4515.56,CHER,EF00319,Transaction number 319
,,,,11/04/2024,C,4227.14,DIVR,EF00320,Transaction number 320
,,,,25/03/2024,C,3066.23,CHER,EF00321,Transaction number 321
,,,,12/01/2024,C,3439.38,TRFR,EF00322,Transaction number 322
,,,,07/02/2024,C,3143.76,MSVR,EF00323,Transaction number 323
,,,,25/01/2024,D,4418.19,CHER,EF00324,Transaction number 324
,,,,28/03/2024,C,548.02,CHGR,EF00325,Transaction number 325
,,,,23/02/2024,C,4448.03,TRFR,EF00326,Transaction number 326
,,,,18/01/2024,C,4762.31,DIVR,EF00327,Transaction number 327
,,,,17/03/2024,C,3223.38,CHER,EF00328,Transaction number 328
,,,,28/01/2024,D,3205.5,MSVR,EF00329,Transaction number 329
,,,,30/04/2024,D,2177.94,DIVR,EF00330,Transaction number 330
,,,,06/01/2024,C,4674.17,CHER,EF00331,Transaction number 331
,,,,10/01/2024,D,3075.64,DIVR,EF00332,Transaction number 332
,,,,24/02/2024,D,2052.77,CHER,EF00333,Transaction number 333
,,,,28/04/2024,C,2353.97,DIVR,EF00334,Transaction number 334
,,,,05/01/2024,D,1455.53,DIVR,EF00335,Transaction number 335
,,,,18/03/2024,D,4774.82,CHER,EF00336,Transaction number 336
,,,,27/04/2024,D,3873.37,TRFR,EF00337,Transaction number 337
,,,,10/03/2024,D,909.21,CHER,EF00338,Transaction number 338
,,,,09/04/2024,C,4075.8,MSVR,EF00339,Transaction number 339
,,,,12/03/2024,C,953.92,MSVR,EF00340,Transaction number 340
,,,,15/04/2024,C,3434.78,DIVR,EF00341,Transaction number 341
,,,,24/02/2024,C,3076.86,MSVR,EF00342,Transaction number 342
,,,,07/02/2024,C,2460.2,CHER,EF00343,Transaction number 343
,,,,20/02/2024,C,2445.68,MSVR,EF00344,Transaction number 344
,,,,12/04/2024,C,3651.56,CHGR,EF00345,Transaction number 345
,,,,29/02/2024,C,597.56,TRFR,EF00346,Transaction number 346
,,,,22/03/2024,D,1007.27,CHER,EF00347,Transaction number 347
,,,,18/03/2024,D,597.52,CHGR,EF00348,Transaction number 348
,,,,11/02/2024,C,549.33,TRFR,EF00349,Transaction number 349
,,,,14/03/2024,C,3630.12,CHER,EF00350,Transaction number 350
,,,,02/02/2024,D,3432.87,CHER,EF00351,Transaction number 351
,,,,18/01/2024,C,999.03,MSVR,EF00352,Transaction number 352
,,,,05/01/2024,D,1434.23,MSVR,EF00353,Transaction number 353
,,,,20/01/2024,C,394.83,DIVR,EF00354,Transaction number 354
,,,,21/01/2024,C,394.26,MSVR,EF00355,Transaction number 355
,,,,18/01/2024,C,2977.91,DIVR,EF00356,Transaction number 356
,,,,30/03/2024,C,4589.73,CHGR,EF00357,Transaction number 357
,,,,03/01/2024,D,3735.76,CHGR,EF00358,Transaction number 358
,,,,24/01/2024,C,3342.26,MSVR,EF00359,Transaction number 359
,,,,28/04/2024,C,1247.26,DIVR,EF00360,Transaction number 360
,,,,26/04/2024,D,3668.83,CHGR,EF00361,Transaction number 361
,,,,18/04/2024,D,3008.81,TRFR,EF00362,Transaction number 362
,,,,20/04/2024,C,4856.08,MSVR,EF00363,Transaction number 363
,,,,05/04/2024,C,861.55,DIVR,EF00364,Transaction number 364
,,,,20/04/2024,D,1013.96,CHGR,EF00365,Transaction number 365
,,,,28/02/2024,D,969.19,TRFR,EF00366,Transaction number 366
,,,,07/01/2024,D,1307.46,DIVR,EF00367,Transaction number 367
,,,,20/04/2024,C,3905.65,CHGR,EF00368,Transaction number 368
,,,,14/04/2024,D,589.62,CHER,EF00369,Transaction number 369
,,,,08/04/2024,D,4155.09,CHER,EF00370,Transaction number 370
,,,,06/02/2024,D,3274.46,CHER,EF00371,Transaction number 371
,,,,28/02/2024,C,3647.15,DIVR,EF00372,Transaction number 372
,,,,10/03/2024,D,3648.61,CHER,EF00373,Transaction number 373
,,,,29/01/2024,C,2997.4,DIVR,EF00374,Transaction number 374
,,,,24/04/2024,D,798.94,CHER,EF00375,Transaction number 375
,,,,07/03/2024,C,4055.6,DIVR,EF00376,Transaction number 376
,,,,23/03/2024,D,4279.33,DIVR,EF00377,Transaction number 377
,,,,02/03/2024,C,3760.56,DIVR,EF00378,Transaction number 378
,,,,31/01/2024,D,3054.22,CHER,EF00379,Transaction number 379
,,,,29/01/2024,C,975.41,CHER,EF00380,Transaction number 380
,,,,21/01/2024,D,2161.43,DIVR,EF00381,Transaction number 381
,,,,01/04/2024,D,4349.78,MSVR,EF00382,Transaction number 382
,,,,09/04/2024,D,4979.45,CHGR,EF00383,Transaction number 383
,,,,21/03/2024,C,4550.83,CHER,EF00384,Transaction number 384
,,,,04/02/2024,D,1295.88,CHGR,EF00385,Transaction number 385
,,,,24/03/2024,C,2454.13,CHER,EF00386,Transaction number 386
,,,,05/04/2024,C,276.01,CHGR,EF00387,Transaction number 387
,,,,29/03/2024,D,3748.71,CHGR,EF00388,Transaction number 388
,,,,26/03/2024,C,3383.02,DIVR,EF00389,Transaction number 389
